roomtype,capacity,roomnr
SH,1,401
SH,1,402
SH,1,403
SH,1,404
SH,1,409
SH,1,410
SH,1,411
SH,1,412
DH,2,308
DH,2,318
DH,2,406
DH,2,407
DH,2,408
DH,2,414
DH,2,101
DH,2,102
DH,2,103
DH,2,104
DH,2,105
DH,2,106
DH,2,107
DH,2,108
DH,2,109
DH,2,110
DH,2,112
DH,2,113
DH,2,114
DH,2,117
DH,2,118
DH,2,120
DH,2,121
DH,2,122
DH,2,123
DH,2,124
DH,2,125
DH,2,126
DH,2,127
DH,2,128
DH,2,129
DH,2,130
DH,2,131
DH,2,134
DH,2,135
DH,2,136
TH,3,115
TH,3,116
TH,3,119
TH,3,132
TH,3,133
TH,3,137
SD,3,142
SD,3,145
SD,3,148
SD,3,162
SD,3,165
SD,3,168
SD,3,209
SD,3,219
SD,3,242
SD,3,245
SD,3,248
SD,3,262
SD,3,265
SD,3,268
SD,3,309
SD,3,319
SD,3,342
SD,3,345
SD,3,348
SD,3,362
SD,3,365
SD,3,368
SD,2,140
SD,2,141
SD,2,151
SD,2,154
SD,2,160
SD,2,171
SD,2,174
SD,2,208
SD,2,218
SD,2,251
SD,2,254
SD,2,271
SD,2,274
SD,2,351
SD,2,354
SD,2,371
SD,2,374
AP6,6,146
AP6,6,147
AP6,6,152
AP6,6,153
AP6,6,166
AP6,6,167
AP6,6,172
AP6,6,173
AP4,4,210
AP4,4,220
AP4,4,310
AP4,4,341
AP4,4,343
AP4,4,344
AP4,4,361
AP4,4,363
AP4,4,364
AP5,5,143
AP5,5,144
AP5,5,163
AP5,5,164
AP5,5,201
AP5,5,202
AP5,5,203
AP5,5,204
AP5,5,205
AP5,5,212
AP5,5,213
AP5,5,214
AP5,5,215
AP5,5,241
AP5,5,243
AP5,5,244
AP5,5,246
AP5,5,247
AP5,5,252
AP5,5,253
AP5,5,261
AP5,5,263
AP5,5,264
AP5,5,266
AP5,5,267
AP5,5,272
AP5,5,273
AP5,5,301
AP5,5,302
AP5,5,303
AP5,5,304
AP5,5,305
AP5,5,311
AP5,5,312
AP5,5,313
AP5,5,314
AP5,5,315
AP5,5,346
AP5,5,347
AP5,5,352
AP5,5,353
AP5,5,366
AP5,5,367
AP7,7,149
AP7,7,150
AP7,7,169
AP7,7,170
AP6,6,206
AP6,6,207
AP6,6,216
AP6,6,217
AP6,6,249
AP6,6,250
AP6,6,269
AP6,6,270
AP6,6,306
AP6,6,307
AP6,6,316
AP6,6,317
AP6,6,349
AP6,6,350
AP6,6,369
AP6,6,370
